# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Mon Aug  7 13:50:02 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# User preference: *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  where (default_flag = 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and disc_facility like '%TESS%',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_orbsmaxstr not null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_radestr not null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_massestr not null),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN default_flag:   Default Parameter Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN disc_facility:  Discovery Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_refname:     Planetary Parameter Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbperlim:   Orbital Period Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_rade:        Planet Radius [Earth Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radelim:     Planet Radius Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masse:       Planet Mass [Earth Mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masselim:    Planet Mass [Earth Mass] Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccen:    Eccentricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN ttv_flag:       Data show Transit Timing Variations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_rad:         Stellar Radius [Solar Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_radlim:      Stellar Radius Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masslim:     Stellar Mass Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN sy_dist:        Distance [pc],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN sy_disterr1:    Distance [pc] Upper Unc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN sy_disterr2:    Distance [pc] Lower Unc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_name,default_flag,disc_facility,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,ttv_flag,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,sy_dist,sy_disterr1,sy_disterr2
TOI-1246 d,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>,18.6559,0.00048,-0.00048,0,0.131,0.004,-0.004,0,3.51,0.09,-0.09,0,5.3,1.7,-1.7,0,,,,,1,0.86,0.05,-0.05,0,0.87,0.03,-0.03,0,169.422,0.673,-0.669
TOI-1246 e,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>,37.9216,0.001,-0.001,0,0.211,0.007,-0.007,0,3.78,0.16,-0.16,0,14.8,2.3,-2.3,0,,,,,1,0.86,0.05,-0.05,0,0.87,0.03,-0.03,0,169.422,0.673,-0.669
TOI-125 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,4.65382,0.00033,-0.00031,0,0.05186,0.00086,-0.00077,0,2.726,0.075,-0.075,0,9.5,0.88,-0.88,0,0.194,0.041,-0.036,0,0,0.85,0.01,-0.01,0,0.86,0.04,-0.04,0,111.059,0.444,-0.44
TOI-125 c,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,9.15059,0.0007,-0.00082,0,0.0814,0.0013,-0.0013,0,2.759,0.1,-0.1,0,6.63,0.99,-0.99,0,0.066,0.07,-0.047,0,0,0.85,0.01,-0.01,0,0.86,0.04,-0.04,0,111.059,0.444,-0.44
TOI-125 d,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,19.98,0.005,-0.0056,0,0.137,0.0022,-0.0022,0,2.93,0.17,-0.17,0,13.6,1.2,-1.2,0,0.168,0.088,-0.062,0,0,0.85,0.01,-0.01,0,0.86,0.04,-0.04,0,111.059,0.444,-0.44
TOI-1259 A b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=MARTIN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.4132M/abstract target=ref>Martin et al. 2021</a>,3.477978,0.0000019,-0.0000017,0,0.0407,0.00114,-0.0011,0,11.456,0.336,-0.303,0,140.16233,15.57359,-14.93794,0,0,,,0,0,0.71,0.02,-0.02,0,0.74,0.06,-0.06,0,118.106,0.375,-0.372
TOI-1260 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=LAM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221204307L/abstract target=ref>Lam et al. 2022</a>,3.127463,0.000005,-0.000005,0,0.0367,0.0011,-0.0011,0,2.41,0.05,-0.05,0,8.56,1.54,-1.54,0,0,,,0,0,0.67,0.01,-0.01,0,0.68,0.1,-0.06,0,73.5977,0.1607,-0.1601
TOI-1260 c,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=LAM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221204307L/abstract target=ref>Lam et al. 2022</a>,7.493134,0.00002,-0.00002,0,0.0657,0.002,-0.002,0,2.76,0.07,-0.07,0,13.2,4.23,-4.23,0,0,,,0,0,0.67,0.01,-0.01,0,0.68,0.1,-0.06,0,73.5977,0.1607,-0.1601
TOI-1260 d,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=LAM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221204307L/abstract target=ref>Lam et al. 2022</a>,16.608164,0.000083,-0.000083,0,0.1116,0.0033,-0.0033,0,3.12,0.08,-0.08,0,11.84,7.79,-7.79,0,0,,,0,0,0.67,0.01,-0.01,0,0.68,0.1,-0.06,0,73.5977,0.1607,-0.1601
TOI-1266 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=DEMORY_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A..49D/abstract target=ref>Demory et al. 2020</a>,10.894843,0.000067,-0.000066,0,0.0736,0.0016,-0.0017,0,2.37,0.16,-0.12,0,13.5,11,-9,0,0.09,0.06,-0.05,0,1,0.42,0.02,-0.02,0,0.45,0.03,-0.03,0,36.0118,0.0295,-0.0295
TOI-1266 c,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=DEMORY_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A..49D/abstract target=ref>Demory et al. 2020</a>,18.80151,0.00067,-0.00069,0,0.1058,0.0023,-0.0024,0,1.56,0.15,-0.13,0,2.2,2,-1.5,0,0.04,0.03,-0.03,0,1,0.42,0.02,-0.02,0,0.45,0.03,-0.03,0,36.0118,0.0295,-0.0295
TOI-1268 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=_SCARON_UBJAK_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220113341S/abstract target=ref>&Scaron;ubjak et al. 2022</a>,8.1577094,0.0000045,-0.0000045,0,0.0711,0.0063,-0.0058,0,9.1,0.6,-0.6,0,96.4,8.2,-8.3,0,0.105,0.04,-0.039,0,0,0.92,0.06,-0.06,0,0.96,0.04,-0.04,0,109.557,0.545,-0.54
TOI-1272 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=MACDOUGALL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220614327M/abstract target=ref>MacDougall et al. 2022</a>,3.31599,0.00002,-0.00002,0,0.0412,0.0008,-0.0008,0,4.14,0.21,-0.21,0,24.6,2.3,-2.3,0,0.338,0.056,-0.062,0,0,0.79,0.03,-0.03,0,0.85,0.05,-0.05,0,137.572,0.403,-0.401
TOI-1278 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=ARTIGAU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..144A/abstract target=ref>Artigau et al. 2021</a>,14.47567,0.00021,-0.00021,0,0.095,0.001,-0.001,0,12.218,2.69,-2.242,0,5879.82553,158.9142,-158.9142,0,0.013,0.004,-0.004,0,0,0.57,0.01,-0.01,0,0.54,0.02,-0.02,0,75.5759,0.15495,-0.15495
TOI-1296 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=MOUTOU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A.147M/abstract target=ref>Moutou et al. 2021</a>,3.9443715,0.0000058,-0.0000058,0,0.0497,0.0023,-0.0028,0,13.798,0.347,-0.347,0,94.71287,12.39531,-12.39531,0,0.055,0.061,-0.038,0,0,1.66,0.04,-0.04,0,1.17,0.14,-0.14,0,323.265,2.845,-2.797
TOI-1298 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=MOUTOU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A.147M/abstract target=ref>Moutou et al. 2021</a>,4.537164,0.000012,-0.000012,0,0.059,0.0023,-0.0023,0,9.427,0.235,-0.235,0,113.14691,10.17051,-10.17051,0,0.032,0.034,-0.023,0,0,1.41,0.03,-0.03,0,1.44,0.1,-0.1,0,319.036,2.001,-1.978
TOI-132 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=D_IACUTE_AZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..973D/abstract target=ref>D&iacute;az et al. 2020</a>,2.1097019,0.000012,-0.000011,0,0.026,0.002,-0.003,0,3.42,0.13,-0.14,0,22.4,1.9,-1.92,0,0.059,0.05,-0.037,0,0,0.9,0.02,-0.02,0,0.97,0.06,-0.06,0,163.678,0.993,-0.981
TOI-1333 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=RODRIGUEZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..194R/abstract target=ref>Rodriguez et al. 2021</a>,4.720219,0.000011,-0.000011,0,0.0626,0.0011,-0.0012,0,15.648,0.628,-0.605,0,753.2571,76.2792,-76.2792,0,0.073,0.092,-0.052,0,0,1.93,0.06,-0.06,0,1.46,0.08,-0.08,0,200.492,1.202,-1.188
TOI-1338 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=KOSTOV_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..253K/abstract target=ref>Kostov et al. 2020</a>,95.174,0.031,-0.035,0,0.4607,0.0084,-0.0088,0,6.85,0.19,-0.19,0,33,20.3,-19.6,0,0.088,0.0043,-0.0033,0,0,1.33,0.02,-0.03,0,1.13,0.07,-0.07,0,399.017,3.162,-3.113
TOI-1416 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=DEEG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230518542D/abstract target=ref>Deeg et al. 2023</a>,1.0697568,0.0000028,-0.0000028,0,0.019,0.0003,-0.0003,0,1.62,0.08,-0.08,0,3.48,0.47,-0.47,0,0,,,0,0,0.79,0.04,-0.03,0,0.8,0.04,-0.04,0,55.0135,0.0775,-0.0772
TOI-1422 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=NAPONIELLO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220703293N/abstract target=ref>Naponiello et al. 2022</a>,12.9972,0.0006,-0.0006,0,0.108,0.003,-0.003,0,3.96,0.13,-0.11,0,9,2.3,-2,0,0.04,0.05,-0.03,0,0,1.02,0.01,-0.01,0,0.98,0.06,-0.07,0,155.141,0.663,-0.657
TOI-1431 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=ADDISON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..292A/abstract target=ref>Addison et al. 2021</a>,2.650237,0.000003,-0.000003,0,0.046,0.002,-0.002,0,16.701,0.56,-0.56,0,991.62463,57.20911,-57.20911,0,0.0022,0.003,-0.0016,0,0,1.92,0.07,-0.07,0,1.9,0.1,-0.08,0,148.925,1.034,-1.02
TOI-1452 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=CADIEUX_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...96C/abstract target=ref>Cadieux et al. 2022</a>,11.06201,0.00002,-0.00002,0,0.061,0.003,-0.003,0,1.672,0.071,-0.071,0,4.82,1.3,-1.3,0,0,,,0,0,0.28,0.01,-0.01,0,0.25,0.01,-0.01,0,30.5212,0.0392,-0.039
TOI-1478 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=RODRIGUEZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..194R/abstract target=ref>Rodriguez et al. 2021</a>,10.180249,0.000015,-0.000015,0,0.0903,0.0018,-0.0013,0,11.882,0.448,-0.437,0,270.47333,16.52716,-14.93801,0,0.024,0.032,-0.017,0,0,1.05,0.03,-0.03,0,0.95,0.06,-0.04,0,152.892,0.915,-0.905
TOI-150.01,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=KOSSAKOWSKI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.1094K/abstract target=ref>Kossakowski et al. 2019</a>,5.857487,0.000089,-0.000097,0,0.07037,0.00087,-0.00088,0,14.067,0.235,-0.213,0,797.7533,38.1396,-38.1396,0,0.262,0.045,-0.037,0,0,1.53,0.01,-0.01,0,1.35,0.04,-0.03,0,336.267,1.927,-1.905
TOI-157 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..76N/abstract target=ref>Nielsen et al. 2020</a>,2.0845435,0.0000023,-0.0000023,0,0.03138,0.00025,-0.0002,0,14.415,0.258,-0.224,0,375.0394,41.3179,-38.1396,0,0,,,0,0,1.17,0.02,-0.01,0,0.95,0.02,-0.02,0,355.683,2.848,-2.804
TOI-1601 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=RODRIGUEZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..194R/abstract target=ref>Rodriguez et al. 2021</a>,5.331751,0.000011,-0.000011,0,0.06864,0.00079,-0.00075,0,13.888,0.516,-0.437,0,314.6517,34.9613,-34.9613,0,0.036,0.044,-0.026,0,0,2.19,0.07,-0.06,0,1.52,0.05,-0.05,0,336.608,8.389,-7.998
TOI-163 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=KOSSAKOWSKI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.1094K/abstract target=ref>Kossakowski et al. 2019</a>,4.231306,0.000063,-0.000057,0,0.058,0.0014,-0.0014,0,16.69,0.381,-0.381,0,387.7526,38.1396,-38.1396,0,0,,,0,0,1.65,0.02,-0.03,0,1.44,0.03,-0.03,0,411.719,8.163,-7.857
TOI-1670 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=TRAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220304334T/abstract target=ref>Tran et al. 2022</a>,10.98462,0.00046,-0.00051,0,0.103,0.002,-0.002,0,2.06,0.19,-0.15,0,41.31769,,,1,0.59,0.17,-0.26,0,0,1.32,0.02,-0.02,0,1.21,0.02,-0.02,0,168.067,0.69,-0.684
TOI-1670 c,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=TRAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220304334T/abstract target=ref>Tran et al. 2022</a>,40.74976,0.000022,-0.00021,0,0.249,0.005,-0.005,0,11.063,0.28,-0.28,0,200.2319,28.60456,-25.42627,0,0.09,0.05,-0.04,0,0,1.32,0.02,-0.02,0,1.21,0.02,-0.02,0,168.067,0.69,-0.684
TOI-169 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..76N/abstract target=ref>Nielsen et al. 2020</a>,2.2554477,0.0000063,-0.0000063,0,0.03524,0.00069,-0.00079,0,12.173,0.908,-0.538,0,251.40353,20.34112,-19.0698,0,0,,,0,0,1.29,0.02,-0.02,0,1.15,0.07,-0.07,0,407.84,4.237,-4.152
TOI-1695 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=CHERUBIM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221106445C/abstract target=ref>Cherubim et al. 2022</a>,3.1342791,0.0000071,-0.0000063,0,0.033548,0.00026,-0.000268,0,1.9,0.16,-0.14,0,6.36,1,-1,0,0.097,,,1,0,0.52,0.01,-0.01,0,0.51,0.01,-0.01,0,45.1309,0.06805,-0.06805
TOI-1696 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=MORI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..298M/abstract target=ref>Mori et al. 2022</a>,2.500311,0.000004,-0.000004,0,0.0229,0.0002,-0.0002,0,3.09,0.11,-0.11,0,48.8,,,1,,,,,0,0.28,0.01,-0.01,0,0.26,0.01,-0.01,0,64.9172,0.3581,-0.3544
TOI-1710 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=K_OUML_NIG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220408984K/abstract target=ref>K&ouml;nig et al. 2022</a>,24.283429,0.000043,-0.000043,0,0.16,0.04,-0.04,0,5.34,0.11,-0.11,0,28.3,4.7,-4.7,0,0.16,0.08,-0.08,0,0,0.97,0.02,-0.01,0,0.98,0.05,-0.06,0,81.2271,0.1773,-0.1766
TOI-172 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=RODRIGUEZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..191R/abstract target=ref>Rodriguez et al. 2019</a>,9.47725,0.00064,-0.00079,0,0.0914,0.0017,-0.0017,0,10.817,0.359,-0.325,0,1722.6386,69.9226,-63.566,0,0.3806,0.0093,-0.009,0,0,1.78,0.05,-0.04,0,1.13,0.07,-0.06,0,342.831,7.371,-7.071
TOI-1728 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=KANODIA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...899...29K/abstract target=ref>Kanodia et al. 2020</a>,3.49151,0.000062,-0.000057,0,0.0391,0.0009,-0.0009,0,5.05,0.16,-0.17,0,26.78,5.43,-5.13,0,0.057,0.054,-0.039,0,0,0.62,0.01,-0.01,0,0.65,0.02,-0.02,0,60.798,0.13635,-0.13635
TOI-1749 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=FUKUI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..167F/abstract target=ref>Fukui et al. 2021</a>,2.38839,0.00031,-0.00066,0,0.0291,0.0005,-0.0005,0,1.39,0.21,-0.19,0,57,,,1,0.14,,,1,0,0.55,0.03,-0.03,0,0.58,0.03,-0.03,0,99.5561,0.1172,-0.1172
TOI-1749 c,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=FUKUI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..167F/abstract target=ref>Fukui et al. 2021</a>,4.4929,0.0038,-0.0027,0,0.0443,0.0008,-0.0008,0,2.12,0.12,-0.12,0,14,,,1,0.019,,,1,0,0.55,0.03,-0.03,0,0.58,0.03,-0.03,0,99.5561,0.1172,-0.1172
TOI-1749 d,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=FUKUI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..167F/abstract target=ref>Fukui et al. 2021</a>,9.0497,0.0049,-0.0032,0,0.0707,0.0012,-0.0012,0,2.52,0.15,-0.15,0,15,,,1,0.062,,,1,0,0.55,0.03,-0.03,0,0.58,0.03,-0.03,0,99.5561,0.1172,-0.1172
TOI-1759 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=ESPINOZA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..133E/abstract target=ref>Espinoza et al. 2022</a>,18.85019,0.00013,-0.00013,0,0.1177,0.0038,-0.0038,0,3.14,0.1,-0.1,0,10.8,1.5,-1.5,0,0,,,0,0,0.6,0.01,-0.01,0,0.61,0.02,-0.02,0,40.0654,0.0423,-0.0423
TOI-178 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=LELEU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A..26L/abstract target=ref>Leleu et al. 2021</a>,1.914558,0.000018,-0.000018,0,0.02607,0.00078,-0.00078,0,1.152,0.073,-0.07,0,1.5,0.39,-0.44,0,,,,,0,0.65,0.01,-0.01,0,0.65,0.03,-0.03,0,62.699,0.2074,-0.2061
TOI-178 c,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=LELEU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A..26L/abstract target=ref>Leleu et al. 2021</a>,3.23845,0.00002,-0.000019,0,0.037,0.0011,-0.0011,0,1.669,0.114,-0.099,0,4.77,0.55,-0.68,0,,,,,0,0.65,0.01,-0.01,0,0.65,0.03,-0.03,0,62.699,0.2074,-0.2061
TOI-178 d,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=LELEU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A..26L/abstract target=ref>Leleu et al. 2021</a>,6.5577,0.000016,-0.000016,0,0.0592,0.0018,-0.0018,0,2.572,0.075,-0.078,0,3.01,0.8,-1.03,0,,,,,0,0.65,0.01,-0.01,0,0.65,0.03,-0.03,0,62.699,0.2074,-0.2061
TOI-178 e,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=LELEU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A..26L/abstract target=ref>Leleu et al. 2021</a>,9.961881,0.000042,-0.000042,0,0.0783,0.0023,-0.0024,0,2.207,0.088,-0.09,0,3.86,1.25,-0.94,0,,,,,0,0.65,0.01,-0.01,0,0.65,0.03,-0.03,0,62.699,0.2074,-0.2061
TOI-178 g,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=LELEU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A..26L/abstract target=ref>Leleu et al. 2021</a>,20.7095,0.00014,-0.00011,0,0.1275,0.0038,-0.0039,0,2.87,0.14,-0.13,0,3.94,1.31,-1.62,0,,,,,0,0.65,0.01,-0.01,0,0.65,0.03,-0.03,0,62.699,0.2074,-0.2061
TOI-1789 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=KHANDELWAL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.3339K/abstract target=ref>Khandelwal et al. 2022</a>,3.208664,0.000015,-0.000015,0,0.04882,0.00063,-0.0016,0,16.141,2.69,-1.569,0,222.47988,50.85255,-50.85255,0,,,,,0,2.17,0.04,-0.03,0,1.51,0.06,-0.14,0,229.067,2.388,-2.34
